CCL	Drug	AUC
CCL_321	Drug_3	0.8276
CCL_321	Drug_4	0.5429999999999999
CCL_321	Drug_5	0.6167
CCL_321	Drug_6	0.8783
CCL_321	Drug_7	0.5419
CCL_321	Drug_8	0.8533
CCL_321	Drug_9	0.4163
CCL_321	Drug_10	0.6294
CCL_321	Drug_17	0.8569
CCL_321	Drug_12	0.7601
CCL_321	Drug_13	0.725
CCL_321	Drug_14	0.7837
CCL_321	Drug_15	0.789
CCL_321	Drug_16	0.8933
CCL_321	Drug_18	0.3774
CCL_321	Drug_19	0.8334
CCL_321	Drug_20	0.9255
CCL_321	Drug_21	0.8509
CCL_321	Drug_22	0.9196
CCL_321	Drug_23	0.8866
CCL_321	Drug_24	0.9526
CCL_322	Drug_11	0.8417
CCL_322	Drug_2	0.4703
CCL_322	Drug_3	0.8437
CCL_322	Drug_4	0.5683
CCL_322	Drug_5	0.5515
CCL_322	Drug_6	0.9658
CCL_322	Drug_7	0.6415
CCL_322	Drug_8	0.8629
CCL_322	Drug_9	0.4396
CCL_322	Drug_10	0.7764
CCL_322	Drug_17	0.8742
CCL_322	Drug_13	0.691
CCL_322	Drug_14	0.7871
CCL_322	Drug_15	0.818
CCL_322	Drug_16	0.8348
CCL_322	Drug_18	0.5603
CCL_322	Drug_19	0.9916
CCL_322	Drug_20	0.9472
CCL_322	Drug_21	0.8292
CCL_322	Drug_22	0.8307
CCL_322	Drug_23	0.7845
CCL_322	Drug_24	0.9589
CCL_323	Drug_11	0.7705
CCL_323	Drug_1	0.7784
CCL_323	Drug_2	0.4768
CCL_323	Drug_3	0.8279
CCL_323	Drug_4	0.7536
CCL_323	Drug_5	0.7402
CCL_323	Drug_6	0.9376
CCL_323	Drug_7	0.9934
CCL_323	Drug_8	0.7678
CCL_323	Drug_9	0.35700000000000004
CCL_323	Drug_10	0.9778
CCL_323	Drug_17	0.7868
CCL_323	Drug_12	0.9365
CCL_323	Drug_13	0.7323
CCL_323	Drug_14	0.7001
CCL_323	Drug_15	0.7188
CCL_323	Drug_16	0.845
CCL_323	Drug_18	0.603
CCL_323	Drug_19	0.9678
CCL_323	Drug_20	0.9004
CCL_323	Drug_21	0.9666
CCL_323	Drug_22	0.8202
CCL_323	Drug_23	0.7992
CCL_323	Drug_24	0.7936
CCL_324	Drug_11	0.9455
CCL_324	Drug_1	0.8456
CCL_324	Drug_2	0.3423
CCL_324	Drug_3	0.8058
CCL_324	Drug_5	0.5853
CCL_324	Drug_6	0.9644
CCL_324	Drug_7	0.9846
CCL_324	Drug_8	0.843
CCL_324	Drug_9	0.499
CCL_324	Drug_10	0.9659
CCL_324	Drug_17	0.954
CCL_324	Drug_12	0.8635
CCL_324	Drug_13	0.8767
CCL_324	Drug_14	0.8621
CCL_324	Drug_15	0.8905
CCL_324	Drug_16	0.9724
CCL_324	Drug_18	0.7058
CCL_324	Drug_19	0.9638
CCL_324	Drug_20	0.9736
CCL_324	Drug_21	0.8426
CCL_324	Drug_22	0.9641
CCL_324	Drug_23	0.8208
CCL_324	Drug_24	0.7977
CCL_327	Drug_11	0.8076
CCL_327	Drug_1	0.8201
CCL_327	Drug_2	0.5007
CCL_327	Drug_3	0.838
CCL_327	Drug_4	0.5844
CCL_327	Drug_5	0.5998
CCL_327	Drug_6	0.9426
CCL_327	Drug_7	0.8748
CCL_327	Drug_8	0.8609
CCL_327	Drug_9	0.5056
CCL_327	Drug_10	0.8804
CCL_327	Drug_17	0.8459
CCL_327	Drug_12	0.8761
CCL_327	Drug_13	0.7796
CCL_327	Drug_14	0.7898
CCL_327	Drug_15	0.7531
CCL_327	Drug_16	0.8534
CCL_327	Drug_18	0.6141
CCL_327	Drug_19	0.855
CCL_327	Drug_20	0.9066
CCL_327	Drug_21	0.8997
CCL_327	Drug_22	0.8611
CCL_327	Drug_23	0.8216
CCL_327	Drug_24	1.0
CCL_328	Drug_11	0.7537
CCL_328	Drug_1	0.924
CCL_328	Drug_2	0.5642
CCL_328	Drug_3	0.8627
CCL_328	Drug_4	0.7274
CCL_328	Drug_5	0.7394
CCL_328	Drug_6	0.9798
CCL_328	Drug_7	0.5209
CCL_328	Drug_8	0.9095
CCL_328	Drug_9	0.3963
CCL_328	Drug_10	0.6222
CCL_328	Drug_17	0.9237
CCL_328	Drug_12	0.97
CCL_328	Drug_13	0.857
CCL_328	Drug_14	0.7737
CCL_328	Drug_15	0.8064
CCL_328	Drug_16	0.9748
CCL_328	Drug_18	0.5491
CCL_328	Drug_19	0.9644
CCL_328	Drug_20	0.9152
CCL_328	Drug_21	0.9499
CCL_328	Drug_22	0.9934
CCL_328	Drug_23	0.8084
CCL_328	Drug_24	0.8516
CCL_329	Drug_11	0.7733
CCL_329	Drug_1	0.7331
CCL_329	Drug_2	0.4713
CCL_329	Drug_3	0.8069
CCL_329	Drug_4	0.6054
CCL_329	Drug_5	0.5622
CCL_329	Drug_6	0.9394
CCL_329	Drug_7	0.7604
CCL_329	Drug_8	0.8639
CCL_329	Drug_9	0.3199
CCL_329	Drug_10	0.8843
CCL_329	Drug_17	0.8051
CCL_329	Drug_12	0.8879
CCL_329	Drug_13	0.7017
CCL_329	Drug_14	0.7472
CCL_329	Drug_15	0.7373
CCL_329	Drug_16	0.8053
CCL_329	Drug_18	0.5279
CCL_329	Drug_19	0.8342
CCL_329	Drug_20	0.7834
CCL_329	Drug_21	0.9512
CCL_329	Drug_22	0.8207
CCL_329	Drug_23	0.8172
CCL_329	Drug_24	0.8446
CCL_334	Drug_11	0.8629
CCL_334	Drug_1	0.8336
CCL_334	Drug_2	0.4976
CCL_334	Drug_3	0.9976
CCL_334	Drug_4	0.5789
CCL_334	Drug_5	0.6394
CCL_334	Drug_6	0.8268
CCL_334	Drug_7	0.8783
CCL_334	Drug_8	0.9279
CCL_334	Drug_9	0.3312
CCL_334	Drug_10	0.9395
CCL_334	Drug_17	0.9522
CCL_334	Drug_12	0.971
CCL_334	Drug_13	0.825
CCL_334	Drug_14	0.8367
CCL_334	Drug_15	0.8472
CCL_334	Drug_16	0.9609
CCL_334	Drug_18	0.5845
CCL_334	Drug_19	0.8016
CCL_334	Drug_20	0.8165
CCL_334	Drug_21	0.9367
CCL_334	Drug_22	0.8459
CCL_334	Drug_23	0.8397
CCL_334	Drug_24	0.9484
CCL_335	Drug_11	0.7344
CCL_335	Drug_1	0.7693
CCL_335	Drug_2	0.455
CCL_335	Drug_3	0.8245
CCL_335	Drug_4	0.6779999999999999
CCL_335	Drug_5	0.6376
CCL_335	Drug_6	0.8345
CCL_335	Drug_7	0.6045
CCL_335	Drug_8	0.8635
CCL_335	Drug_9	0.4118
CCL_335	Drug_10	0.7396
CCL_335	Drug_17	0.8002
CCL_335	Drug_12	0.8928
CCL_335	Drug_13	0.7583
CCL_335	Drug_14	0.7118
CCL_335	Drug_15	0.858
CCL_335	Drug_16	0.8992
CCL_335	Drug_18	0.5559
CCL_335	Drug_19	0.8449
CCL_335	Drug_20	0.8998
CCL_335	Drug_21	0.9103
CCL_335	Drug_22	0.7423
CCL_335	Drug_23	0.7417
CCL_335	Drug_24	0.9708
CCL_336	Drug_11	0.7829
CCL_336	Drug_1	0.7851
CCL_336	Drug_2	0.5677
CCL_336	Drug_3	0.976
CCL_336	Drug_5	0.6798
CCL_336	Drug_6	0.8643
CCL_336	Drug_7	0.6317
CCL_336	Drug_9	0.5146
CCL_336	Drug_10	0.7933
CCL_336	Drug_12	0.9569
CCL_336	Drug_13	0.8762
CCL_336	Drug_14	0.8433
CCL_336	Drug_15	0.8865
CCL_336	Drug_16	0.8945
CCL_336	Drug_18	0.5692
CCL_336	Drug_19	0.7561
CCL_336	Drug_20	0.8285
CCL_336	Drug_21	0.8249
CCL_336	Drug_22	0.8099
CCL_336	Drug_23	0.8225
CCL_336	Drug_24	0.8024
CCL_339	Drug_11	0.942
CCL_339	Drug_1	0.8335
CCL_339	Drug_2	0.4552
CCL_339	Drug_3	0.9784
CCL_339	Drug_5	0.8240000000000001
CCL_339	Drug_6	0.9529
CCL_339	Drug_7	0.8516
CCL_339	Drug_8	0.8270000000000001
CCL_339	Drug_9	0.5069
CCL_339	Drug_10	0.8635
CCL_339	Drug_17	0.9641
CCL_339	Drug_12	0.9528
CCL_339	Drug_13	0.8251
CCL_339	Drug_14	0.7785
CCL_339	Drug_15	0.8033
CCL_339	Drug_16	0.9859
CCL_339	Drug_18	0.55
CCL_339	Drug_19	0.7994
CCL_339	Drug_20	0.9366
CCL_339	Drug_21	0.9792
CCL_339	Drug_22	0.9775
CCL_339	Drug_23	0.9624
CCL_339	Drug_24	1.0
CCL_343	Drug_11	0.826
CCL_343	Drug_1	0.9235
CCL_343	Drug_2	0.4835
CCL_343	Drug_3	1.0
CCL_343	Drug_4	0.6009
CCL_343	Drug_5	0.6732
CCL_343	Drug_6	0.7241
CCL_343	Drug_7	0.7373
CCL_343	Drug_8	0.943
CCL_343	Drug_9	0.4244
CCL_343	Drug_10	0.8527
CCL_343	Drug_17	0.9522
CCL_343	Drug_12	0.889
CCL_343	Drug_13	0.7791
CCL_343	Drug_14	0.8042
CCL_343	Drug_15	0.8813
CCL_343	Drug_16	0.8773
CCL_343	Drug_18	0.6112
CCL_343	Drug_19	0.8551
CCL_343	Drug_20	0.9332
CCL_343	Drug_21	0.8285
CCL_343	Drug_22	0.8271
CCL_343	Drug_23	0.8678
CCL_343	Drug_24	0.8801
CCL_345	Drug_11	0.9004
CCL_345	Drug_1	0.9332
CCL_345	Drug_2	0.5133
CCL_345	Drug_3	0.9776
CCL_345	Drug_5	0.8361
CCL_345	Drug_6	0.944
CCL_345	Drug_7	0.7992
CCL_345	Drug_8	0.8881
CCL_345	Drug_9	0.2583
CCL_345	Drug_10	0.8951
CCL_345	Drug_17	0.9395
CCL_345	Drug_12	0.9116
CCL_345	Drug_13	0.8052
CCL_345	Drug_14	0.8739
CCL_345	Drug_15	0.792
CCL_345	Drug_16	0.9675
CCL_345	Drug_18	0.5675
CCL_345	Drug_19	0.9855
CCL_345	Drug_20	0.9514
CCL_345	Drug_21	0.9346
CCL_345	Drug_22	0.8172
CCL_345	Drug_23	0.9084
CCL_345	Drug_24	0.978
CCL_352	Drug_11	0.8016
CCL_352	Drug_1	0.9561
CCL_352	Drug_2	0.5419
CCL_352	Drug_3	0.9824
CCL_352	Drug_4	0.6393
CCL_352	Drug_5	0.6358
CCL_352	Drug_6	0.9453
CCL_352	Drug_7	0.8279
CCL_352	Drug_8	0.9424
CCL_352	Drug_9	0.3809
CCL_352	Drug_10	0.9478
CCL_352	Drug_17	0.9435
CCL_352	Drug_12	0.9544
CCL_352	Drug_13	0.8332
CCL_352	Drug_14	0.7525
CCL_352	Drug_15	0.8372
CCL_352	Drug_16	0.9804
CCL_352	Drug_18	0.5257
CCL_352	Drug_19	0.9711
CCL_352	Drug_20	0.9908
CCL_352	Drug_21	0.9742
CCL_352	Drug_22	0.8355
CCL_352	Drug_23	0.7949
CCL_352	Drug_24	0.8602
CCL_354	Drug_11	0.7894
CCL_354	Drug_1	0.9138
CCL_354	Drug_2	0.4391
CCL_354	Drug_3	0.9866
CCL_354	Drug_4	0.6706
CCL_354	Drug_5	0.7052
CCL_354	Drug_6	0.8941
CCL_354	Drug_7	0.6968
CCL_354	Drug_8	0.9433
CCL_354	Drug_9	0.6393
CCL_354	Drug_10	0.8162
CCL_354	Drug_17	0.8412
CCL_354	Drug_12	0.841
CCL_354	Drug_13	0.7979
CCL_354	Drug_14	0.8192
CCL_354	Drug_15	0.8816
CCL_354	Drug_16	0.8602
CCL_354	Drug_18	0.5866
CCL_354	Drug_19	0.9765
CCL_354	Drug_20	0.9363
CCL_354	Drug_21	0.9329
CCL_354	Drug_22	0.9527
CCL_354	Drug_23	0.8276
CCL_354	Drug_24	0.8553
CCL_357	Drug_11	0.7663
CCL_357	Drug_1	0.8525
CCL_357	Drug_2	0.5451
CCL_357	Drug_3	0.991
CCL_357	Drug_5	0.62
CCL_357	Drug_6	0.8119
CCL_357	Drug_7	0.8847
CCL_357	Drug_9	0.4599
CCL_357	Drug_10	0.9518
CCL_357	Drug_12	0.8352
CCL_357	Drug_13	0.8178
CCL_357	Drug_14	0.8642
CCL_357	Drug_15	0.8705
CCL_357	Drug_16	0.963
CCL_357	Drug_18	0.6556
CCL_357	Drug_19	0.8304
CCL_357	Drug_20	0.9372
CCL_357	Drug_21	0.9527
CCL_357	Drug_22	0.8412
CCL_357	Drug_23	0.9119
CCL_357	Drug_24	0.8423
CCL_359	Drug_11	0.8088
CCL_359	Drug_1	0.8927
CCL_359	Drug_2	0.5416
CCL_359	Drug_3	0.9209
CCL_359	Drug_4	0.7441
CCL_359	Drug_5	0.7305
CCL_359	Drug_6	0.9674
CCL_359	Drug_7	0.7953
CCL_359	Drug_8	0.9214
CCL_359	Drug_9	0.4617
CCL_359	Drug_10	0.9719
CCL_359	Drug_17	0.94
CCL_359	Drug_12	0.9523
CCL_359	Drug_13	0.7683
CCL_359	Drug_14	0.7076
CCL_359	Drug_15	0.7402
CCL_359	Drug_16	0.9753
CCL_359	Drug_18	0.7163
CCL_359	Drug_19	0.9593
CCL_359	Drug_20	0.9862
CCL_359	Drug_21	0.9624
CCL_359	Drug_22	0.8547
CCL_359	Drug_23	0.8486
CCL_359	Drug_24	0.9804
CCL_361	Drug_11	0.7997
CCL_361	Drug_1	0.9136
CCL_361	Drug_2	0.4514
CCL_361	Drug_3	0.9632
CCL_361	Drug_5	0.627
CCL_361	Drug_6	0.8538
CCL_361	Drug_7	0.6791
CCL_361	Drug_8	0.9281
CCL_361	Drug_9	0.433
CCL_361	Drug_10	0.7717
CCL_361	Drug_17	0.8235
CCL_361	Drug_12	0.9641
CCL_361	Drug_13	0.7355
CCL_361	Drug_14	0.8615
CCL_361	Drug_15	0.8596
CCL_361	Drug_16	0.9161
CCL_361	Drug_18	0.6197
CCL_361	Drug_19	0.8235
CCL_361	Drug_20	0.8317
CCL_361	Drug_21	0.8275
CCL_361	Drug_22	0.7351
CCL_361	Drug_23	0.6314
CCL_361	Drug_24	0.8121
CCL_363	Drug_11	0.8292
CCL_363	Drug_1	0.8149
CCL_363	Drug_2	0.5567
CCL_363	Drug_3	0.8371
CCL_363	Drug_4	0.8195
CCL_363	Drug_5	0.8703
CCL_363	Drug_6	0.9834
CCL_363	Drug_7	0.5852
CCL_363	Drug_8	0.9376
CCL_363	Drug_9	0.6579999999999999
CCL_363	Drug_10	0.6398
CCL_363	Drug_17	0.8423
CCL_363	Drug_12	0.9825
CCL_363	Drug_13	0.7434
CCL_363	Drug_14	0.7647
CCL_363	Drug_15	0.8846
CCL_363	Drug_16	0.8574
CCL_363	Drug_18	0.6307
CCL_363	Drug_19	1.0
CCL_363	Drug_20	0.9514
CCL_363	Drug_21	0.9314
CCL_363	Drug_22	0.8220000000000001
CCL_363	Drug_23	0.8186
CCL_363	Drug_24	0.9687
CCL_369	Drug_11	0.8153
CCL_369	Drug_1	0.7625
CCL_369	Drug_2	0.4478
CCL_369	Drug_3	0.9801
CCL_369	Drug_4	0.7245
CCL_369	Drug_5	0.7055
CCL_369	Drug_6	0.8371
CCL_369	Drug_7	0.7885
CCL_369	Drug_8	0.8164
CCL_369	Drug_9	0.4746
CCL_369	Drug_10	0.8762
CCL_369	Drug_17	0.8417
CCL_369	Drug_12	0.9587
CCL_369	Drug_13	0.7046
CCL_369	Drug_14	0.7056
CCL_369	Drug_15	0.7619
CCL_369	Drug_16	0.826
CCL_369	Drug_18	0.49
CCL_369	Drug_19	0.8204
CCL_369	Drug_20	0.9593
CCL_369	Drug_21	0.8969
CCL_369	Drug_22	0.8991
CCL_369	Drug_23	0.7578
CCL_369	Drug_24	0.8695
CCL_370	Drug_11	0.7696
CCL_370	Drug_1	0.7864
CCL_370	Drug_2	0.4919
CCL_370	Drug_3	0.8208
CCL_370	Drug_4	0.8007
CCL_370	Drug_5	0.78
CCL_370	Drug_6	0.9319
CCL_370	Drug_7	0.6512
CCL_370	Drug_8	0.9135
CCL_370	Drug_9	0.4656
CCL_370	Drug_10	0.82
CCL_370	Drug_17	0.8114
CCL_370	Drug_12	0.9811
CCL_370	Drug_13	0.8407
CCL_370	Drug_14	0.6527
CCL_370	Drug_15	0.8336
CCL_370	Drug_16	0.9024
CCL_370	Drug_18	0.4647
CCL_370	Drug_19	0.9321
CCL_370	Drug_20	0.9386
CCL_370	Drug_21	0.9235
CCL_370	Drug_22	0.8355
CCL_370	Drug_23	0.7812
CCL_370	Drug_24	0.8626
CCL_374	Drug_11	0.8099
CCL_374	Drug_1	0.8292
CCL_374	Drug_2	0.5392
CCL_374	Drug_3	0.9143
CCL_374	Drug_5	0.8557
CCL_374	Drug_6	0.9405
CCL_374	Drug_7	0.7607
CCL_374	Drug_8	0.782
CCL_374	Drug_9	0.7015
CCL_374	Drug_10	0.9259
CCL_374	Drug_17	0.7705
CCL_374	Drug_12	0.8029
CCL_374	Drug_13	0.6683
CCL_374	Drug_14	0.7152
CCL_374	Drug_15	0.7613
CCL_374	Drug_16	0.8395
CCL_374	Drug_18	0.6746
CCL_374	Drug_19	0.9508
CCL_374	Drug_20	0.8284
CCL_374	Drug_21	0.961
CCL_374	Drug_22	0.866
CCL_374	Drug_23	0.8326
CCL_374	Drug_24	0.9971
CCL_376	Drug_11	0.8712
CCL_376	Drug_1	0.7796
CCL_376	Drug_2	0.4059
CCL_376	Drug_3	0.9813
CCL_376	Drug_4	0.7556
CCL_376	Drug_5	0.7861
CCL_376	Drug_6	0.9216
CCL_376	Drug_7	0.5342
CCL_376	Drug_8	0.8579
CCL_376	Drug_9	0.4064
CCL_376	Drug_10	0.6322
CCL_376	Drug_17	0.9739
CCL_376	Drug_12	0.8814
CCL_376	Drug_13	0.8566
CCL_376	Drug_14	0.9082
CCL_376	Drug_15	0.8334
CCL_376	Drug_16	0.9762
CCL_376	Drug_18	0.5531
CCL_376	Drug_19	0.8224
CCL_376	Drug_20	0.9783
CCL_376	Drug_21	0.9459
CCL_376	Drug_22	0.8951
CCL_376	Drug_23	0.8390000000000001
CCL_376	Drug_24	0.9571
CCL_377	Drug_11	0.8779
CCL_377	Drug_1	0.7739
CCL_377	Drug_2	0.4756
CCL_377	Drug_3	0.989
CCL_377	Drug_5	0.7692
CCL_377	Drug_6	0.7789
CCL_377	Drug_7	0.6264
CCL_377	Drug_8	0.8262
CCL_377	Drug_9	0.5737
CCL_377	Drug_10	0.6869
CCL_377	Drug_17	0.8084
CCL_377	Drug_12	0.7929
CCL_377	Drug_13	0.8229
CCL_377	Drug_14	0.8343
CCL_377	Drug_15	0.809
CCL_377	Drug_16	0.9729
CCL_377	Drug_18	0.4641
CCL_377	Drug_19	0.8616
CCL_377	Drug_20	0.8446
CCL_377	Drug_21	0.932
CCL_377	Drug_22	0.947
CCL_377	Drug_23	0.9711
CCL_377	Drug_24	0.9284
CCL_379	Drug_11	0.8087
CCL_379	Drug_1	0.9435
CCL_379	Drug_2	0.494
CCL_379	Drug_3	0.8253
CCL_379	Drug_4	0.5288
CCL_379	Drug_5	0.5698
CCL_379	Drug_6	0.6603
CCL_379	Drug_7	0.6132
CCL_379	Drug_8	0.9339
CCL_379	Drug_9	0.2994
CCL_379	Drug_10	0.6898
CCL_379	Drug_17	0.8361
CCL_379	Drug_12	0.8677
CCL_379	Drug_13	0.7256
CCL_379	Drug_14	0.8237
CCL_379	Drug_15	0.7637
CCL_379	Drug_16	0.8261
CCL_379	Drug_18	0.6133
CCL_379	Drug_19	0.9106
CCL_379	Drug_20	0.8317
CCL_379	Drug_21	0.8964
CCL_379	Drug_22	0.8924
CCL_379	Drug_23	0.8636
CCL_379	Drug_24	0.838
CCL_380	Drug_11	0.9596
CCL_380	Drug_1	0.8278
CCL_380	Drug_2	0.5939
CCL_380	Drug_3	0.7705
CCL_380	Drug_4	0.5775
CCL_380	Drug_5	0.5518
CCL_380	Drug_6	0.9544
CCL_380	Drug_7	0.9581
CCL_380	Drug_8	0.9982
CCL_380	Drug_9	0.5202
CCL_380	Drug_10	0.9663
CCL_380	Drug_17	0.912
CCL_380	Drug_12	0.984
CCL_380	Drug_13	0.8455
CCL_380	Drug_14	0.9235
CCL_380	Drug_15	0.9117
CCL_380	Drug_16	0.8876
CCL_380	Drug_18	0.6088
CCL_380	Drug_19	0.8459
CCL_380	Drug_20	0.9081
CCL_380	Drug_21	0.8268
CCL_380	Drug_22	0.8578
CCL_380	Drug_23	0.9823
CCL_380	Drug_24	0.9596
CCL_390	Drug_11	0.9467
CCL_390	Drug_1	0.8277
CCL_390	Drug_2	0.3621
CCL_390	Drug_3	0.7949
CCL_390	Drug_5	0.5615
CCL_390	Drug_6	0.936
CCL_390	Drug_7	0.9144
CCL_390	Drug_8	0.9761
CCL_390	Drug_9	0.3367
CCL_390	Drug_10	0.9038
CCL_390	Drug_17	1.0
CCL_390	Drug_12	1.0
CCL_390	Drug_13	0.7967
CCL_390	Drug_14	0.7035
CCL_390	Drug_15	0.9955
CCL_390	Drug_16	0.9554
CCL_390	Drug_18	0.6027
CCL_390	Drug_19	0.9559
CCL_390	Drug_20	0.8143
CCL_390	Drug_21	0.9088
CCL_390	Drug_22	0.8786
CCL_390	Drug_23	0.8174
CCL_390	Drug_24	0.7672
CCL_383	Drug_11	0.8048
CCL_383	Drug_1	0.797
CCL_383	Drug_2	0.4428
CCL_383	Drug_3	0.9608
CCL_383	Drug_5	0.5826
CCL_383	Drug_6	0.8417
CCL_383	Drug_7	0.6717
CCL_383	Drug_8	0.8532
CCL_383	Drug_9	0.2833
CCL_383	Drug_10	0.7515
CCL_383	Drug_12	0.9468
CCL_383	Drug_13	0.7387
CCL_383	Drug_14	0.8688
CCL_383	Drug_15	0.8816
CCL_383	Drug_16	0.9603
CCL_383	Drug_18	0.5261
CCL_383	Drug_19	0.9227
CCL_383	Drug_20	0.8681
CCL_383	Drug_21	0.8705
CCL_383	Drug_22	0.9681
CCL_383	Drug_23	0.8116
CCL_383	Drug_24	0.9332
CCL_385	Drug_11	0.7371
CCL_385	Drug_1	0.7804
CCL_385	Drug_2	0.472
CCL_385	Drug_3	0.8412
CCL_385	Drug_4	0.7343
CCL_385	Drug_5	0.8368
CCL_385	Drug_6	0.926
CCL_385	Drug_7	0.7308
CCL_385	Drug_8	0.9961
CCL_385	Drug_9	0.7995
CCL_385	Drug_10	0.7991
CCL_385	Drug_17	0.8655
CCL_385	Drug_12	0.9555
CCL_385	Drug_13	0.7565
CCL_385	Drug_14	0.7682
CCL_385	Drug_15	0.9072
CCL_385	Drug_16	0.933
CCL_385	Drug_18	0.7554
CCL_385	Drug_19	0.9936
CCL_385	Drug_20	0.8317
CCL_385	Drug_21	0.9423
CCL_385	Drug_22	0.8973
CCL_385	Drug_23	0.8292
CCL_385	Drug_24	0.9882
CCL_386	Drug_11	0.8454
CCL_386	Drug_1	0.7809999999999999
CCL_386	Drug_2	0.5111
CCL_386	Drug_3	0.8308
CCL_386	Drug_4	0.7351
CCL_386	Drug_5	0.8553
CCL_386	Drug_6	0.865
CCL_386	Drug_7	0.8573
CCL_386	Drug_8	0.9755
CCL_386	Drug_9	0.5642
CCL_386	Drug_10	0.9061
CCL_386	Drug_17	0.9666
CCL_386	Drug_12	0.8975
CCL_386	Drug_13	0.7232
CCL_386	Drug_14	0.7076
CCL_386	Drug_15	0.8192
CCL_386	Drug_16	0.8206
CCL_386	Drug_18	0.6652
CCL_386	Drug_19	0.9365
CCL_386	Drug_20	0.7987
CCL_386	Drug_21	0.9363
CCL_386	Drug_22	0.7517
CCL_386	Drug_23	0.8618
CCL_386	Drug_24	0.9915
CCL_387	Drug_11	0.823
CCL_387	Drug_1	0.927
CCL_387	Drug_2	0.5139
CCL_387	Drug_3	0.8194
CCL_387	Drug_4	0.6292
CCL_387	Drug_5	0.6448
CCL_387	Drug_6	0.9365
CCL_387	Drug_7	0.4817
CCL_387	Drug_8	0.9786
CCL_387	Drug_9	0.4896
CCL_387	Drug_10	0.6444
CCL_387	Drug_17	0.8032
CCL_387	Drug_12	0.6924
CCL_387	Drug_13	0.6212
CCL_387	Drug_14	0.807
CCL_387	Drug_15	0.7904
CCL_387	Drug_16	0.8849
CCL_387	Drug_18	0.5304
CCL_387	Drug_19	0.9281
CCL_387	Drug_20	0.861
CCL_387	Drug_21	0.9104
CCL_387	Drug_22	0.969
CCL_387	Drug_23	0.8382
CCL_387	Drug_24	0.9082
CCL_388	Drug_11	0.6849
CCL_388	Drug_1	0.8182
CCL_388	Drug_2	0.4554
CCL_388	Drug_3	0.8865
CCL_388	Drug_4	0.6011
CCL_388	Drug_5	0.6413
CCL_388	Drug_6	0.9514
CCL_388	Drug_7	0.4545
CCL_388	Drug_8	0.9155
CCL_388	Drug_9	0.3179
CCL_388	Drug_10	0.4887
CCL_388	Drug_17	0.8187
CCL_388	Drug_12	0.7439
CCL_388	Drug_13	0.6781
CCL_388	Drug_14	0.6647
CCL_388	Drug_15	0.7761
CCL_388	Drug_16	0.9432
CCL_388	Drug_18	0.4259
CCL_388	Drug_19	0.8394
CCL_388	Drug_20	0.7816
CCL_388	Drug_21	0.9373
CCL_388	Drug_22	0.7638
CCL_388	Drug_23	0.8099
CCL_388	Drug_24	0.8423
CCL_391	Drug_11	0.8878
CCL_391	Drug_1	0.8624
CCL_391	Drug_2	0.5119
CCL_391	Drug_3	0.8939
CCL_391	Drug_4	0.6814
CCL_391	Drug_5	0.6493
CCL_391	Drug_6	0.8966
CCL_391	Drug_7	0.7240000000000001
CCL_391	Drug_8	0.9584
CCL_391	Drug_9	0.5554
CCL_391	Drug_10	0.8102
CCL_391	Drug_17	0.862
CCL_391	Drug_12	0.8412
CCL_391	Drug_13	0.7453
CCL_391	Drug_14	0.8536
CCL_391	Drug_15	0.872
CCL_391	Drug_16	0.8349
CCL_391	Drug_18	0.6224
CCL_391	Drug_19	0.9604
CCL_391	Drug_20	0.8175
CCL_391	Drug_21	0.9708
CCL_391	Drug_22	0.9605
CCL_391	Drug_23	0.836
CCL_391	Drug_24	0.8284
CCL_393	Drug_11	0.7153
CCL_393	Drug_1	0.79
CCL_393	Drug_2	0.4628
CCL_393	Drug_3	0.8223
CCL_393	Drug_4	0.5849
CCL_393	Drug_5	0.6043
CCL_393	Drug_6	0.8487
CCL_393	Drug_7	0.8161
CCL_393	Drug_8	0.8547
CCL_393	Drug_9	0.398
CCL_393	Drug_10	0.8681
CCL_393	Drug_17	0.8194
CCL_393	Drug_12	0.9616
CCL_393	Drug_13	0.7227
CCL_393	Drug_14	0.7336
CCL_393	Drug_15	0.7558
CCL_393	Drug_16	0.9225
CCL_393	Drug_18	0.4647
CCL_393	Drug_19	0.8412
CCL_393	Drug_20	0.8717
CCL_393	Drug_21	0.9176
CCL_393	Drug_22	0.8504
CCL_393	Drug_23	0.8528
CCL_393	Drug_24	0.9703
CCL_398	Drug_11	0.8186
CCL_398	Drug_1	0.7735
CCL_398	Drug_2	0.5257
CCL_398	Drug_3	0.9712
CCL_398	Drug_4	0.6731
CCL_398	Drug_5	0.6844
CCL_398	Drug_6	0.8336
CCL_398	Drug_7	0.6967
CCL_398	Drug_8	0.87
CCL_398	Drug_9	0.4848
CCL_398	Drug_10	0.7648
CCL_398	Drug_17	0.8412
CCL_398	Drug_12	0.9466
CCL_398	Drug_13	0.8577
CCL_398	Drug_14	0.879
CCL_398	Drug_15	0.8121
CCL_398	Drug_16	0.8847
CCL_398	Drug_18	0.6767
CCL_398	Drug_19	0.8784
CCL_398	Drug_20	0.8928
CCL_398	Drug_21	0.9309
CCL_398	Drug_22	0.8036
CCL_398	Drug_23	0.9255
CCL_398	Drug_24	0.8875
CCL_399	Drug_11	0.7472
CCL_399	Drug_1	0.7098
CCL_399	Drug_2	0.4232
CCL_399	Drug_3	0.8390000000000001
